legalWeedStatus,State,Year,MV_Deaths,Total_Deaths,Total_OD_Deaths,OverdosePercent,MVPercent
Mixed,Minnesota,2017,357,525368.0,8288.0,0.01577560871617609,0.0006795236862542066
Mixed,Missouri,2015,869,744471.0,13090.0,0.01758295487668425,0.0011672717943345006
Mixed,Missouri,2016,978,735070.0,14478.0,0.01969608336621002,0.0013304855319901507
Mixed,Missouri,2017,930,763154.0,16847.0,0.022075491971476267,0.0012186269088545693
Mixed,Montana,2015,224,116009.0,1527.0,0.013162771853907887,0.001930884672740908
Mixed,Montana,2016,194,118846.0,1477.0,0.012427847803039228,0.0016323645726402235
Mixed,Montana,2017,186,122927.0,1465.0,0.011917642177877927,0.0015130931365769928
Mixed,New Hampshire,2015,114,139941.0,4896.0,0.034986172744227925,0.0008146290222307973
Mixed,New Hampshire,2016,126,139496.0,5256.0,0.037678499741928086,0.0009032517061421116
Mixed,New Hampshire,2017,102,145970.0,5524.0,0.03784339247790642,0.0006987737206275262
Mixed,New Jersey,2015,562,857584.0,15849.0,0.018480988451277075,0.0006553293904737029
Mixed,New Jersey,2016,601,846797.0,20055.0,0.02368336212811335,0.0007097332654697643
Mixed,New Jersey,2017,624,883650.0,28586.0,0.03234991229559215,0.0007061619419453404
Mixed,New Mexico,2015,298,204766.0,6291.0,0.030722873914614732,0.001455319730814686
Mixed,New Mexico,2016,417,209960.0,5881.0,0.02801009716136407,0.0019860925890645836
Mixed,New Mexico,2017,379,214756.0,6036.0,0.028106316005140717,0.0017647935331259663
Mixed,New York,2015,1121,1181726.0,19990.0,0.016915934827531932,0.0009486124533098197
Mixed,New York,2016,1019,1169431.0,24820.0,0.021223996969466346,0.0008713639368205563
Mixed,New York,2017,999,1193600.0,28892.0,0.024205764075067023,0.0008369638069705094
Mixed,North Dakota,2015,131,83522.0,799.0,0.00956634180215991,0.0015684490313929264
Mixed,North Dakota,2016,127,80487.0,828.0,0.010287375601028737,0.0015778945668244561
Mixed,North Dakota,2017,115,83842.0,950.0,0.01133083657355502,0.0013716275852198182
Mixed,Ohio,2015,1110,1416465.0,36893.0,0.026045825346902324,0.0007836409653609514
Mixed,Ohio,2016,1228,1415504.0,45503.0,0.03214614723801558,0.0008675355209169313
Mixed,Ohio,2017,1179,1468788.0,60794.0,0.04139058870306675,0.0008027026364594482
Mixed,Oklahoma,2015,643,457525.0,8944.0,0.019548658543249,0.0014053876837331293
Mixed,Oklahoma,2016,708,455459.0,8913.0,0.01956926968179353,0.0015544758145080019
Mixed,Oklahoma,2017,655,466564.0,9867.0,0.021148224037859757,0.00140388028223352
Mixed,Pennsylvania,2015,1200,1605327.0,36077.0,0.02247330294700083,0.0007475112547163288
Mixed,Pennsylvania,2016,1223,1586270.0,45980.0,0.0289862381561777,0.0007709910670945047
Mixed,Pennsylvania,2017,1137,1641025.0,64683.0,0.03941621852196036,0.0006928596456482991
Mixed,Rhode Island,2015,45,123866.0,3517.0,0.028393586617796653,0.0003632958196761016
Mixed,Rhode Island,2016,82,120927.0,3978.0,0.032895879332159074,0.0006780950490791965
Mixed,Rhode Island,2017,83,123470.0,3986.0,0.03228314570340973,0.0006722280715963392
Mixed,Texas,2015,3516,2289797.0,30794.0,0.013448353718692093,0.001535507296061616
Mixed,Texas,2016,3936,2308662.0,32557.0,0.014102107627708171,0.0017048836079079572
Mixed,Texas,2017,3722,2369974.0,34262.0,0.014456698681082578,0.0015704813639305748
Mixed,Utah,2015,276,212365.0,7433.0,0.035001059496621384,0.0012996491888964754
Mixed,Utah,2016,285,219344.0,8333.0,0.03799055365088628,0.0012993289080166315
Mixed,Utah,2017,273,222049.0,7485.0,0.03370877599088489,0.0012294583627937977
Mixed,Virginia,2015,753,774031.0,11819.0,0.015269414274105301,0.0009728292536087056
Mixed,Virginia,2016,788,775307.0,14327.0,0.01847913149242816,0.001016371579258281
Mixed,Virginia,2017,839,802829.0,17070.0,0.021262311152188074,0.0010450544262850495
Mixed,West Virginia,2015,268,265538.0,8230.0,0.030993680753790418,0.0010092717426507694
Mixed,West Virginia,2016,311,262060.0,9617.0,0.036697702816148974,0.0011867511256964053
Mixed,West Virginia,2017,303,268237.0,11836.0,0.04412515797596901,0.0011295980793104604
